"replicate","n","corner_relief","edge","family","cor_true","delta_kl_total","node_holdout_score","gen_time","fit_time"
1,16000,0.3,"1->2","Clayton(3.0)",0.773585119848334,0.108061669747926,0.456387836042197,75.218817949295,66.7188408374786
1,16000,0.3,"7->8","Gumbel(3.0)",0.836927300899249,0.108061669747926,0.577143296993991,75.218817949295,66.7188408374786
1,16000,0.6,"1->2","Clayton(3.0)",0.784328912992127,0.20779991508685,0.45497939925382,75.218817949295,65.254063129425
1,16000,0.6,"7->8","Gumbel(3.0)",0.8333957485106,0.20779991508685,0.573360888348902,75.218817949295,65.254063129425
1,16000,0.8,"1->2","Clayton(3.0)",0.782996938319789,0.0803617736448476,0.455986496978516,75.218817949295,63.0487670898438
1,16000,0.8,"7->8","Gumbel(3.0)",0.823314095701169,0.0803617736448476,0.55767041712828,75.218817949295,63.0487670898438
2,2000,0,"1->2","Clayton(3.0)",0.771911564797761,0,0.435825312268071,9.2446939945221,1.14556694030762
2,2000,0,"7->8","Gumbel(3.0)",0.835687952519502,0,0.62791503752677,9.2446939945221,1.14556694030762
2,2000,0.3,"1->2","Clayton(3.0)",0.780468522873011,0.0965532183565334,0.438276657786251,9.2446939945221,1.1367130279541
2,2000,0.3,"7->8","Gumbel(3.0)",0.801075480778502,0.0965532183565334,0.526726943553652,9.2446939945221,1.1367130279541
2,2000,0.6,"1->2","Clayton(3.0)",0.785875028313165,-0.110784225688248,0.436620045331583,9.2446939945221,1.14994716644287
2,2000,0.6,"7->8","Gumbel(3.0)",0.84113764561459,-0.110784225688248,0.638920674644165,9.2446939945221,1.14994716644287
2,2000,0.8,"1->2","Clayton(3.0)",0.772932913029403,0.0823432945559657,0.43682030131635,9.2446939945221,1.14258694648743
2,2000,0.8,"7->8","Gumbel(3.0)",0.841444253507112,0.0823432945559657,0.639500428910335,9.2446939945221,1.14258694648743
2,4000,0,"1->2","Clayton(3.0)",0.756820087848078,0,0.44322919883508,18.4643108844757,4.19916987419128
2,4000,0,"7->8","Gumbel(3.0)",0.816960882749515,0,0.519804189960259,18.4643108844757,4.19916987419128
2,4000,0.3,"1->2","Clayton(3.0)",0.786308311697857,-0.0259683956057426,0.465644675324357,18.4643108844757,4.2392201423645
2,4000,0.3,"7->8","Gumbel(3.0)",0.833944245990935,-0.0259683956057426,0.546498488208978,18.4643108844757,4.2392201423645
2,4000,0.6,"1->2","Clayton(3.0)",0.787407396082654,-0.0540160142519266,0.465386249841004,18.4643108844757,4.18791198730469
2,4000,0.6,"7->8","Gumbel(3.0)",0.839210055349246,-0.0540160142519266,0.550658145036068,18.4643108844757,4.18791198730469
2,4000,0.8,"1->2","Clayton(3.0)",0.764606641347746,-0.0886720386505386,0.454878169241974,18.4643108844757,4.18724608421326
2,4000,0.8,"7->8","Gumbel(3.0)",0.836014586837149,-0.0886720386505386,0.548452416925824,18.4643108844757,4.18724608421326
2,8000,0,"1->2","Clayton(3.0)",0.763872454664616,0,0.480287529086239,36.8042089939117,16.2036159038544
2,8000,0,"7->8","Gumbel(3.0)",0.83779141702748,0,0.56645719735409,36.8042089939117,16.2036159038544
2,8000,0.3,"1->2","Clayton(3.0)",0.775098278699202,0.107104736344241,0.488069652405544,36.8042089939117,15.9500069618225
2,8000,0.3,"7->8","Gumbel(3.0)",0.815752808526656,0.107104736344241,0.52396306173663,36.8042089939117,15.9500069618225
2,8000,0.6,"1->2","Clayton(3.0)",0.782582818695033,0.0328635086844171,0.488012404655212,36.8042089939117,16.0219299793243
2,8000,0.6,"7->8","Gumbel(3.0)",0.841607015206591,0.0328635086844171,0.570595207913094,36.8042089939117,16.0219299793243
2,8000,0.8,"1->2","Clayton(3.0)",0.774391572937206,0.0756290052707369,0.488196100158572,36.8042089939117,16.0763809680939
2,8000,0.8,"7->8","Gumbel(3.0)",0.834197771725436,0.0756290052707369,0.561562227919951,36.8042089939117,16.0763809680939
2,16000,0,"1->2","Clayton(3.0)",0.780095301311035,0,0.450319502013907,73.9550719261169,62.1413300037384
